step,t_old,t_new,dt,Rd,mpp,A_if,m_dot,m_evap_cum,m_drop,m_drop0,mass_closure_err,Ts,Tg0,Tg_min,Tg_max,Tg_if,Tl_if,sumYg0,cp_g0,k_g0,Yg0_NC12H26,Yg_eq_NC12H26
1,0.0,1e-06,1e-06,0.00010000000757081774,0.0,1.2566372517113275e-07,0.0,0.0,3.1189737057880276e-09,3.1179754634843987e-09,9.982423036288475e-13,283.3616688375214,362.9609126223995,362.9609126223995,900.0000000000002,362.9609126223995,298.08548878364695,1.0,1042.9571042251614,0.0303084190841844,0.0007082014854308598,0.00028882956567815156
2,1e-06,2e-06,1e-06,0.00010000000572598293,0.0013758392314828904,1.2566372053455685e-07,1.728930766855454e-10,8.64465383427727e-17,3.1193394185077836e-09,3.1179754634843987e-09,1.3640414699229948e-12,291.7427380563102,355.51126689188004,355.51126689188004,900.0000000000003,355.51126689188004,297.39892913720587,1.0,1041.8718825066865,0.029853104219882614,0.0,0.0006197133319594112
3,2e-06,3e-06,1e-06,0.0001000000060975304,0.0,1.2566372146835758e-07,0.0,1.728930766855454e-16,3.119649180595768e-09,3.1179754634843987e-09,1.6738900044459042e-12,291.90394793963145,348.33189006207795,348.33189006207795,900.0000000000005,348.33189006207795,296.82560676266496,1.0,1041.6178635192357,0.02941198891536819,0.0001557004143634691,0.0006285470610760258
4,3e-06,4e-06,1e-06,0.00010000000595703549,0.00010490926725899874,1.2566372111525532e-07,1.3183288903240603e-11,1.794847211371657e-16,3.1199176141277206e-09,3.1179754634843987e-09,1.942330128042941e-12,291.9444563565927,343.0952699825971,343.0952699825971,900.0000000000006,343.0952699825971,296.3359753265105,1.0,1041.2911206584322,0.02909217784874925,8.270479815674777e-05,0.0006307845814022778
5,4e-06,4.9999999999999996e-06,1e-06,0.00010000000600745519,0.0,1.2566372124197383e-07,0.0,1.86076365588786e-16,3.1201565399733143e-09,3.1179754634843987e-09,2.1812625652813793e-12,291.88386875777405,339.29954055360565,339.29954055360565,900.0000000000006,339.29954055360565,295.90674484665084,1.0,1041.1328984091417,0.02886058716484694,0.00011134014467846238,0.0006274406279355068
6,4.9999999999999996e-06,5.999999999999999e-06,1e-06,0.00010000000596800974,2.948124474225572e-05,1.2566372114283662e-07,3.704722918234541e-12,1.8792872704790328e-16,3.1203730643879463e-09,3.1179754634843987e-09,2.397788832274703e-12,291.77308062749336,336.36734436191966,336.36734436191966,900.0000000000006,336.36734436191966,295.5236971130898,1.0,1040.9869812851323,0.028682221609482174,9.727277438466213e-05,0.0006213673803519261
7,5.999999999999999e-06,6.999999999999999e-06,1e-06,0.0001000000059552725,9.523346607385493e-06,1.2566372111082444e-07,1.1967391721122068e-12,1.9037945809307665e-16,3.1205719035602258e-09,3.1179754634843987e-09,2.5966304552852264e-12,291.6365166128239,334.02800556075056,334.02800556075056,900.0000000000006,334.02800556075056,295.177394724827,1.0,1040.8857026999503,0.028540093084339163,0.00010029823917862391,0.0006139542208306853
8,6.999999999999999e-06,8e-06,1e-06,0.00010000000592820864,2.024196320173978e-05,1.2566372104280552e-07,2.5436804171421624e-12,1.9224966788770384e-16,3.1207562539710016e-09,3.1179754634843987e-09,2.7809827362709563e-12,291.4885700263066,332.0936931910523,332.0936931910523,900.0000000000006,332.0936931910523,294.86136984799185,1.0,1040.7997274265863,0.0284227661856878,9.68615210332738e-05,0.0006060134091182505
9,8e-06,9e-06,1e-06,0.00010000000590390295,1.8184738785622194e-05,1.2566372098171867e-07,2.285161940881865e-12,1.9466408906671587e-16,3.120928445018691e-09,3.1179754634843987e-09,2.953176198381277e-12,291.3364471539844,330.4585685829735,330.4585685829735,900.0000000000007,330.4585685829735,294.5708853145576,0.9999999999999999,1040.7303537455928,0.02832369804370334,9.595619796168281e-05,0.0005979452984361892
10,9e-06,1e-05,1e-06,0.00010000000587733751,1.9881125416961675e-05,1.256637209149524e-07,2.498336195872239e-12,1.970558381350929e-16,3.121090225273969e-09,3.1179754634843987e-09,3.1149588454082437e-12,291.18440900894626,329.04893117115495,329.04893117115495,900.0000000000008,329.04893117115495,294.3023560144677,0.9999999999999999,1040.6711146178347,0.0282383865314812,9.42577611293527e-05,0.0005899787682381478
11,1e-05,1.1000000000000001e-05,1e-06,0.00010000000585097521,1.9734347770337723e-05,1.2566372084869675e-07,2.479891569342821e-12,1.9954495201770043e-16,3.121242957496455e-09,3.1179754634843987e-09,3.267693557008133e-12,291.03481686696637,327.8157206577614,327.8157206577614,900.0000000000009,327.8157206577614,294.0529701064783,1.0,1040.6204030967747,0.028163821747490336,9.295984016884079e-05,0.0005822341288954485
12,1.1000000000000001e-05,1.2000000000000002e-05,1e-06,0.00010000000582439384,1.9903255253977872e-05,1.2566372078189047e-07,2.5011171108865698e-12,2.0203545635781513e-16,3.1213877291060536e-09,3.1179754634843987e-09,3.4124676571111414e-12,290.88905005003534,326.72341281821843,326.72341281821843,900.000000000001,326.72341281821843,293.8204684943161,1.0,1040.5761069051994,0.028097832932298568,9.163460701049922e-05,0.0005747760248037185
13,1.2000000000000002e-05,1.3000000000000003e-05,1e-06,0.00010000000579800446,1.9764065694785365e-05,1.256637207155667e-07,2.483626031673621e-12,2.0452782792909523e-16,3.1215254275941615e-09,3.1179754634843987e-09,3.5501686375907096e-12,290.7478638977342,325.7461168915779,325.7461168915779,900.000000000001,325.7461168915779,293.6029960068296,1.0,1040.5370553523244,0.028038837323844566,9.042262306881536e-05,0.0005676347071184483
14,1.3000000000000003e-05,1.4000000000000003e-05,1e-06,0.00010000000577183524,1.9603383332625596e-05,1.2566372064979632e-07,2.463434086901936e-12,2.07001357988383e-16,3.1216567899236365e-09,3.1179754634843987e-09,3.681533440595847e-12,290.6116470470361,324.864231731243,324.864231731243,900.0000000000011,324.864231731243,293.3990028743307,1.0,1040.5022575165988,0.027985638491194318,8.92688270398927e-05,0.000560820847574096
15,1.4000000000000003e-05,1.5000000000000004e-05,1e-06,0.00010000000574597746,1.9374002220448957e-05,1.256637205848086e-07,2.434609201639959e-12,2.0945037963265396e-16,3.1217824374065055e-09,3.1179754634843987e-09,3.807183372486558e-12,290.480554645421,324.06266661501394,324.06266661501394,900.0000000000011,324.06266661501394,293.2071752170719,1.0,1040.4710025561021,0.02793731579018823,8.818473671763814e-05,0.0005543332236206452
16,1.5000000000000004e-05,1.6000000000000003e-05,1e-06,0.00010000000572045957,1.9122960348371363e-05,1.2566372052067512e-07,2.403062344745691e-12,2.118692154058468e-16,3.121902900507126e-09,3.1179754634843987e-09,3.92764889194285e-12,290.35459658675154,323.3295486789619,323.3295486789619,900.0000000000014,323.3295486789619,293.0263853600144,1.0,1040.4427251943162,0.02789314551672068,8.71601077660811e-05,0.0005481636784177838
17,1.6000000000000003e-05,1.7000000000000003e-05,1e-06,0.00010000000569530284,1.8855683879933604e-05,1.2566372045744938e-07,2.369475388122011e-12,2.1425548427228065e-16,3.1220186370991228e-09,3.1179754634843987e-09,4.043387870208367e-12,290.23369057987634,322.6553894055018,322.6553894055018,900.0000000000014,322.6553894055018,292.8556551701992,1.0,1040.4169838875007,0.027852549673110395,8.619231547758799e-05,0.0005423000463290894
18,1.7000000000000003e-05,1.8000000000000004e-05,1e-06,0.00010000000567051268,1.8584081559742704e-05,1.256637203951449e-07,2.3353448289240753e-12,2.166078943808037e-16,3.1221300461300776e-09,3.1179754634843987e-09,4.1547992535730095e-12,290.1176969851642,322.03249052117485,322.03249052117485,900.0000000000014,322.03249052117485,292.6941285114094,1.0,1040.393423107564,0.027815059628374685,8.5276714183005e-05,0.0005367280117459272
19,1.8000000000000004e-05,1.9000000000000004e-05,1e-06,0.00010000000564608755,1.831334660286594e-05,1.2566372033375787e-07,2.3013232658777205e-12,2.1892622842820458e-16,3.122237478063746e-09,3.1179754634843987e-09,4.262233505575669e-12,290.00644127761626,321.45452606812444,321.45452606812444,900.0000000000014,321.45452606812444,292.54105012438407,1.0,1040.3717543635435,0.02778029052262617,8.440973605831158e-05,0.0005314322621829698
20,1.9000000000000004e-05,2.0000000000000005e-05,1e-06,0.00010000000562202039,1.8047682472455277e-05,1.2566372027327048e-07,2.2679389217994265e-12,2.2121085952204315e-16,3.1223412429862696e-09,3.1179754634843987e-09,4.366000712730273e-12,289.899728974135,320.9162373278815,320.9162373278815,900.0000000000014,320.9162373278815,292.39574917187804,1.0,1040.3517401360443,0.027747922610578353,8.35878705338813e-05,0.0005263972164594074
21,2.0000000000000005e-05,2.1000000000000006e-05,1e-06,0.00010000000559830095,1.7789489690979276e-05,1.2566372021365702e-07,2.2354934552709554e-12,2.2346257571057836e-16,3.1224416169951696e-09,3.1179754634843987e-09,4.466376973346645e-12,289.7973555492214,320.413207764793,320.413207764793,900.0000000000015,320.413207764793,292.257626222595,1.0,1040.3331829167812,0.02771768750119253,8.280795704863784e-05,0.0005216074772186616
22,2.1000000000000006e-05,2.2000000000000006e-05,1e-06,0.00010000000557491698,1.7540287097324634e-05,1.2566372015488672e-07,2.2041777292345733e-12,2.256824113028311e-16,3.1225388473015643e-09,3.1179754634843987e-09,4.563609499576808e-12,289.6991130734169,319.94169373207876,319.94169373207876,900.0000000000016,319.94169373207876,292.1261428180207,1.0,1040.3159168047328,0.027689357813893103,8.20670632476788e-05,0.0005170481077845474
23,2.2000000000000006e-05,2.3000000000000007e-05,1e-06,0.00010000000555185518,1.7300878441891175e-05,1.2566372009692608e-07,2.174092745952755e-12,2.2787154654042477e-16,3.122633156354205e-09,3.1179754634843987e-09,4.65792074135287e-12,289.6047946410056,319.4984954302196,319.4984954302196,900.0000000000016,319.4984954302196,292.0008130078804,1.0,1040.2998012378366,0.027662739297593116,8.136249430197005e-05,0.0005127047944670639
24,2.3000000000000007e-05,2.4000000000000007e-05,1e-06,0.0001000000055291018,1.707161128107223e-05,1.2566372003974059e-07,2.145282180651938e-12,2.3003123400372714e-16,3.1227247452092573e-09,3.1179754634843987e-09,4.749511756092548e-12,289.51419730023974,319.0808571785215,319.0808571785215,900.0000000000016,319.0808571785215,291.8811964074664,1.0,1040.2847161673858,0.02763766474299285,8.06917634956111e-05,0.0005085639343856766
25,2.4000000000000007e-05,2.5000000000000008e-05,1e-06,0.0001000000055066431,1.6852512615809695e-05,1.2566371998329574e-07,2.1177494263680683e-12,2.3216274980723716e-16,3.122813796311226e-09,3.1179754634843987e-09,4.83856498957698e-12,289.4271239557731,318.6863894248819,318.6863894248819,900.0000000000016,318.6863894248819,291.76689244629114,1.0,1040.2705583233942,0.02761398922390309,8.005257680100247e-05,0.0005046126747155109
26,2.5000000000000008e-05,2.600000000000001e-05,1e-06,0.0001000000054844656,1.6643397372620648e-05,1.2566371992755758e-07,2.091471226076049e-12,2.3426736013345923e-16,3.122900475808794e-09,3.1179754634843987e-09,4.925246591755354e-12,289.34338456183525,318.3130070740652,318.3130070740652,900.0000000000016,318.3130070740652,291.6575355601917,1.0,1040.2572382819628,0.027591586335867703,7.944281527734663e-05,0.0005008389204995033
27,2.600000000000001e-05,2.700000000000001e-05,1e-06,0.00010000000546255623,1.6443940549832064e-05,1.2566371987249332e-07,2.0664067388540305e-12,2.363462991159243e-16,3.122984935499479e-09,3.1179754634843987e-09,5.009708361379522e-12,289.2627968233917,317.95888022625513,317.95888022625513,900.0000000000016,317.95888022625513,291.55279113853237,1.0,1040.2446781411932,0.027570345192903137,7.88605201272054e-05,0.0004972313223929122
28,2.700000000000001e-05,2.800000000000001e-05,1e-06,0.00010000000544090256,1.6253729266913915e-05,1.256637198180717e-07,2.042504080596262e-12,2.384007545256494e-16,3.1230673144751123e-09,3.1179754634843987e-09,5.092089391468074e-12,289.185186555552,317.62239445988905,317.62239445988905,900.0000000000016,317.62239445988905,291.4523520816841,1.0,1040.2328096600365,0.027550168007044643,7.830387882505563e-05,0.0004937792519382373
29,2.800000000000001e-05,2.900000000000001e-05,1e-06,0.00010000000541949271,1.6072299065979648e-05,1.256637197642629e-07,2.0197048857946908e-12,2.404318590088449e-16,3.1231477405240365e-09,3.1179754634843987e-09,5.172517471496586e-12,289.1103878059953,317.3021185330152,317.3021185330152,900.0000000000016,317.3021185330152,291.35593585620717,0.9999999999999999,1040.2215727553312,0.027530968120722206,7.777121264655286e-05,0.0004904727694563369
30,2.900000000000001e-05,3.000000000000001e-05,1e-06,0.00010000000539831553,1.5899159506120912e-05,1.2566371971103884e-07,1.997947523818277e-12,2.4244068521365137e-16,3.1232263313338235e-09,3.1179754634843987e-09,5.251110290109963e-12,289.03824281406406,316.99677790713173,316.99677790713173,900.0000000000016,316.99677790713173,291.2632819593274,1.0,1040.210914277318,0.027512668394414762,7.726096535211887e-05,0.0004873025879566779
31,3.000000000000001e-05,3.100000000000001e-05,1e-06,0.0001000000053773605,1.57338119949839e-05,1.2566371965837308e-07,1.9771693396952042e-12,2.444282436454081e-16,3.123303195529134e-09,3.1179754634843987e-09,5.327976472978918e-12,288.96860185862863,316.70523288237877,316.70523288237877,900.0000000000016,316.70523288237877,291.17414972263504,1.0,1040.2007870049792,0.02749519987558956,7.677169295091528e-05,0.0004842600353325746
32,3.100000000000001e-05,3.2000000000000005e-05,1e-06,0.00010000000535661778,1.5575762089681582e-05,1.2566371960624095e-07,1.957308199891264e-12,2.4639548241520134e-16,3.1233784335723816e-09,3.1179754634843987e-09,5.4032164834652485e-12,288.9013230317443,316.4264604157285,316.4264604157285,900.0000000000016,316.4264604157285,291.0883163989675,0.9999999999999999,1040.1911488151957,0.027478500692216083,7.630205443079775e-05,0.0004813370163341623
33,3.2000000000000005e-05,3.3e-05,1e-06,0.00010000000533607822,1.542452782961988e-05,1.256637195546194e-07,1.938303539443775e-12,2.483432882848689e-16,3.123452138549422e-09,3.1179754634843987e-09,5.47692340831189e-12,288.8362719644915,316.15953890386675,316.15953890386675,900.0000000000016,316.15953890386675,291.00557548730035,1.0,1040.1819619916796,0.027462515127000018,7.585080335958293e-05,0.000478525975284829
34,3.3e-05,3.4e-05,1e-06,0.00010000000531573326,1.5279645207583027e-05,1.2566371950348694e-07,1.920097049478512e-12,2.5027248857933e-16,3.1235243968582904e-09,3.1179754634843987e-09,5.549183646380382e-12,288.773321523826,315.90363537014633,315.90363537014633,900.0000000000016,315.90363537014633,290.9257352589487,1.0,1040.1731926459488,0.02744719283812732,7.541678027034725e-05,0.0004758198601465112
35,3.4e-05,3.5e-05,1e-06,0.00010000000529557494,1.5140671598815193e-05,1.2566371945282354e-07,1.9026331081208458e-12,2.521838536581297e-16,3.123595288815708e-09,3.1179754634843987e-09,5.6200775151628525e-12,288.71235149385325,315.6579946144289,315.6579946144289,900.0000000000016,315.6579946144289,290.84861745504935,1.0,1040.1648102299505,0.02743248819957882,7.49989057499562e-05,0.0004732120882932186
36,3.5e-05,3.5999999999999994e-05,1e-06,0.00010000000527559584,1.5007187714996276e-05,1.256637194026106e-07,1.8858590260395972e-12,2.540780997252099e-16,3.123664889193457e-09,3.1179754634843987e-09,5.689679787158187e-12,288.65324825105085,315.4219299760106,315.4219299760106,900.0000000000016,315.4219299760106,290.77405613059096,1.0,1040.1567871229613,0.02741835973969856,7.459617416067484e-05,0.0004706965141850331
37,3.5999999999999994e-05,3.699999999999999e-05,1e-06,0.00010000000525578915,1.4878798521346216e-05,1.2566371935283093e-07,1.8697251616937667e-12,2.559558918190766e-16,3.1237332676946057e-09,3.1179754634843987e-09,5.758060166098933e-12,288.5959044401402,315.1948154302193,315.1948154302193,900.0000000000016,315.1948154302193,290.70189662448706,1.0,1040.149098280245,0.027404769660955817,7.420764792918874e-05,0.00046826739902163645
38,3.699999999999999e-05,3.799999999999999e-05,1e-06,0.00010000000523614846,1.4755133409373303e-05,1.256637193034685e-07,1.8541849430407168e-12,2.578178468714438e-16,3.1238004893779153e-09,3.1179754634843987e-09,5.825283711363609e-12,288.54021865527295,314.97607879402995,314.97607879402995,900.0000000000016,314.97607879402995,290.6319946385942,1.0,1040.1417209321667,0.02739168342722155,7.383245234701941e-05,0.0004659193823794527
39,3.799999999999999e-05,3.8999999999999986e-05,1e-06,0.00010000000521666791,1.4635845864808953e-05,1.2566371925450854e-07,1.839194825807612e-12,2.59664536755868e-16,3.123866615037398e-09,3.1179754634843987e-09,5.891411217535976e-12,288.48609512970995,314.76519585887496,314.76519585887496,900.0000000000016,314.76519585887496,290.56421541133636,1.0,1040.1346343259454,0.02737906940746285,7.346977082955085e-05,0.00046364745578736437
40,3.8999999999999986e-05,3.999999999999998e-05,1e-06,0.00010000000519734202,1.4520612779595248e-05,1.2566371920593726e-07,1.8247142070332015e-12,2.614964912722884e-16,3.123931701542856e-09,3.1179754634843987e-09,5.956499554948674e-12,288.43344343608646,314.5616853026329,314.5616853026329,900.0000000000016,314.5616853026329,290.49843297384245,1.0,1040.127819502431,0.02736689856684637,7.311884058925055e-05,0.0004614469381649404
41,3.999999999999998e-05,4.099999999999998e-05,1e-06,0.00010000000517816575,1.4409133541976944e-05,1.2566371915774204e-07,1.8107053107253916e-12,2.633142010311677e-16,3.12399580214639e-09,3.1179754634843987e-09,6.020601976192521e-12,288.38217819857937,314.36510425958056,314.36510425958056,900.0000000000016,314.36510425958056,290.4345294783552,1.0,1040.1212591029728,0.02735514419785435,7.277894868072163e-05,0.00045931345302912467
42,4.099999999999998e-05,4.199999999999998e-05,1e-06,0.00010000000515913442,1.430112897690535e-05,1.256637191099111e-07,1.7971330547084441e-12,2.651181202138846e-16,3.1240589667590342e-09,3.1179754634843987e-09,6.083768392755899e-12,288.3322188177163,314.1750444485282,314.1750444485282,900.0000000000016,314.1750444485282,290.3723945901843,0.9999999999999999,1040.1149372010611,0.027343781685354496,7.244942838248992e-05,0.0004572429073654205
43,4.199999999999998e-05,4.2999999999999975e-05,1e-06,0.00010000000514024372,1.4196340213911368e-05,1.2566371906243357e-07,1.7839649083556864e-12,2.669086691954167e-16,3.124121242201147e-09,3.1179754634843987e-09,6.146045625417287e-12,288.2834892081565,313.9911287765514,313.9911287765514,900.0000000000016,313.9911287765514,290.3119249357419,1.0,1040.108839155637,0.027332788300573486,7.212965588150358e-05,0.00045523147205587486
44,4.2999999999999975e-05,4.399999999999997e-05,1e-06,0.00010000000512148961,1.409452751330261e-05,1.2566371901529937e-07,1.7711707450850653e-12,2.6868623702213707e-16,3.124182672429605e-09,3.1179754634843987e-09,6.207477631443657e-12,288.2359175494838,313.8130083496639,313.8130083496639,900.0000000000016,313.8130083496639,290.2530236002497,0.9999999999999999,1040.1029514822178,0.02732214301980701,7.18190472325762e-05,0.00045327556375654416
45,4.399999999999997e-05,4.499999999999997e-05,1e-06,0.00010000000510286838,1.3995469096746716e-05,1.256637189684991e-07,1.7587226954058933e-12,2.7045118374238253e-16,3.1242432987444608e-09,3.1179754634843987e-09,6.268105711245827e-12,288.1894360498393,313.64035983305223,313.64035983305223,900.0000000000016,313.64035983305223,290.19559966958576,1.0,1040.0972617399143,0.027311826364372876,7.151705556539754e-05,0.0004513718281196598
46,4.499999999999997e-05,4.5999999999999966e-05,1e-06,0.00010000000508437661,1.3898959990754186e-05,1.2566371892202423e-07,1.7465950015865944e-12,2.7220384259087876e-16,3.1243031599773452e-09,3.1179754634843987e-09,6.327968696789117e-12,288.14398072207575,313.4728831127353,313.4728831127353,900.0000000000016,313.4728831127353,290.13956781147925,1.0,1040.0917584314525,0.027301820258875314,7.122316851713129e-05,0.00044951712426011134
47,4.5999999999999966e-05,4.699999999999996e-05,1e-06,0.0001000000050660111,1.3804810912027945e-05,1.2566371887586665e-07,1.734763877583576e-12,2.7394452203046387e-16,3.12436229266358e-09,3.1179754634843987e-09,6.387103123703573e-12,288.09949117202893,313.3102992180726,313.3102992180726,900.0000000000016,313.3102992180726,290.08484789189004,1.0,1040.0864309150454,0.027292107905311284,7.093690586840236e-05,0.000447708510371545
48,4.699999999999996e-05,4.799999999999996e-05,1e-06,0.00010000000504776896,1.3712847191122599e-05,1.2566371883001914e-07,1.723207373784248e-12,2.756735076561478e-16,3.1244207311997655e-09,3.1179754634843987e-09,6.4455433888742854e-12,288.05591039842375,313.1523484707991,313.1523484707991,900.0000000000016,313.1523484707991,290.03136462293685,1.0,1040.0812693258802,0.02728267367093531,7.065781736532278e-05,0.00044594323040273283
49,4.799999999999996e-05,4.899999999999996e-05,1e-06,0.00010000000502964741,1.3622907754091819e-05,1.2566371878447474e-07,1.7119052490370345e-12,2.7739106396755843e-16,3.124478507988295e-09,3.1179754634843987e-09,6.503321894960181e-12,288.0131846039107,312.9987888314191,312.9987888314191,900.0000000000016,312.9987888314191,289.9790472391937,1.0,1040.0762645065906,0.027273502988101647,7.038548070942883e-05,0.00044421870171141783
50,4.899999999999996e-05,4.9999999999999955e-05,1e-06,0.00010000000501164392,1.353484415213916e-05,1.2566371873922703e-07,1.700838848713687e-12,2.7909743601643377e-16,3.124535653570164e-09,3.1179754634843987e-09,6.560469183201177e-12,287.97126301669863,312.84939441810536,312.84939441810536,900.0000000000016,312.84939441810536,289.92782919955795,1.0,1040.0714079449128,0.027264582264582272,7.011949970179357e-05,0.0004425325036184412
